Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.00
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.00
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.00
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.00
Angle: +00.00, BaseSpeed: +06.28, Error: +01.00, DerivativeError: +01.00, DeltaSpeed: +00.06
Angle: +00.00, BaseSpeed: +06.28, Error: +02.00, DerivativeError: +01.00, DeltaSpeed: +00.13
Angle: +00.00, BaseSpeed: +06.28, Error: +03.00, DerivativeError: +01.00, DeltaSpeed: +00.21
Angle: +00.00, BaseSpeed: +06.28, Error: +06.00, DerivativeError: +03.00, DeltaSpeed: +00.42
Angle: +00.00, BaseSpeed: +06.28, Error: +09.00, DerivativeError: +03.00, DeltaSpeed: +00.66
Angle: +00.00, BaseSpeed: +06.28, Error: +10.00, DerivativeError: +01.00, DeltaSpeed: +00.81
